date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:20:51	77509/77509	---M-Z	200	added ('OK')	text/html	etag:%221cca5cf-12ec5-5a065a0d4e080-gzip%22	https://themes.pixelstrap.com/multikart/	E:/Templates/multicart/themes.pixelstrap.com/multikart/index.html	(from )
19:20:51	31/31	---M--	200	added ('OK')	text/plain	etag:%221c5ed12-1f-573674df1a4fa%22	https://themes.pixelstrap.com/robots.txt		(from )
19:20:51	391/391	---M--	200	added ('OK')	image/png	etag:%221cc2261-187-5a1cfdb1d8380%22	https://themes.pixelstrap.com/multikart/assets/images/favicon/1.png	E:/Templates/multicart/themes.pixelstrap.com/multikart/assets/images/favicon/1.png	(from https://themes.pixelstrap.com/multikart/)
19:20:52	166090/166090	---M--	200	added ('OK')	text/css	etag:%221cc1a6f-288ca-5965b1ad65e00%22	https://themes.pixelstrap.com/multikart/assets/css/bootstrap.css	E:/Templates/multicart/themes.pixelstrap.com/multikart/assets/css/bootstrap.css	(from https://themes.pixelstrap.com/multikart/)
19:20:52	29032/29032	---M--	200	added ('OK')	text/css	etag:%221cc1aa3-7168-5a62434c65580%22	https://themes.pixelstrap.com/multikart/assets/css/landing_page.css	E:/Templates/multicart/themes.pixelstrap.com/multikart/assets/css/landing_page.css	(from https://themes.pixelstrap.com/multikart/)
19:20:52	60563/60563	---M--	200	added ('OK')	text/css	etag:%221cc1a69-ec93-5965b1ad65e00%22	https://themes.pixelstrap.com/multikart/assets/css/animate.css	E:/Templates/multicart/themes.pixelstrap.com/multikart/assets/css/animate.css	(from https://themes.pixelstrap.com/multikart/)
19:20:52	36637/36637	---M--	200	added ('OK')	text/css	etag:%221cc1a9f-8f1d-5a62434c65580%22	https://themes.pixelstrap.com/multikart/assets/css/fontawesome.css	E:/Templates/multicart/themes.pixelstrap.com/multikart/assets/css/fontawesome.css	(from https://themes.pixelstrap.com/multikart/)
19:20:53	16450/16450	---M--	200	added ('OK')	text/css	etag:%221cc1aac-4042-5965b1ad65e00%22	https://themes.pixelstrap.com/multikart/assets/css/themify-icons.css	E:/Templates/multicart/themes.pixelstrap.com/multikart/assets/css/themify-icons.css	(from https://themes.pixelstrap.com/multikart/)
19:20:53	293/293	---M--	200	added ('OK')	image/png	etag:%221cc509a-125-5a1cfdb5a8c80%22	https://themes.pixelstrap.com/multikart/assets/images/landing-page/header/logo.png	E:/Templates/multicart/themes.pixelstrap.com/multikart/assets/images/landing-page/header/logo.png	(from https://themes.pixelstrap.com/multikart/)
19:20:53	2367/2367	---M--	200	added ('OK')	image/png	etag:%221cc50b5-93f-5a1cfdb5a8c80%22	https://themes.pixelstrap.com/multikart/assets/images/landing-page/text.png	E:/Templates/multicart/themes.pixelstrap.com/multikart/assets/images/landing-page/text.png	(from https://themes.pixelstrap.com/multikart/)
19:20:53	247235/247235	---M-Z	200	added ('OK')	text/html	etag:%221d0a729-3c5c3-5a089d7245700-gzip%22	https://themes.pixelstrap.com/multikart/front-end/index.html	E:/Templates/multicart/themes.pixelstrap.com/multikart/front-end/index.html	(from https://themes.pixelstrap.com/multikart/)
19:20:54	81669/81669	---M-Z	200	added ('OK')	text/html	etag:%221cca5b6-13f05-59279a9fa3b00-gzip%22	https://themes.pixelstrap.com/multikart/back-end/index.html	E:/Templates/multicart/themes.pixelstrap.com/multikart/back-end/index.html	(from https://themes.pixelstrap.com/multikart/)
19:20:54	5623/5623	---M--	200	added ('OK')	image/png	etag:%221cc515d-15f7-5a1cfdb5a8c80%22	https://themes.pixelstrap.com/multikart/assets/images/landing-page/slider/1.png	E:/Templates/multicart/themes.pixelstrap.com/multikart/assets/images/landing-page/slider/1.png	(from https://themes.pixelstrap.com/multikart/)
19:20:54	11151/11151	---M--	200	added ('OK')	image/png	etag:%221cc5163-2b8f-5a1cfdb5a8c80%22	https://themes.pixelstrap.com/multikart/assets/images/landing-page/slider/5.png	E:/Templates/multicart/themes.pixelstrap.com/multikart/assets/images/landing-page/slider/5.png	(from https://themes.pixelstrap.com/multikart/)
19:20:54	18677/18677	---M--	200	added ('OK')	image/png	etag:%221cc5160-48f5-5a1cfdb5a8c80%22	https://themes.pixelstrap.com/multikart/assets/images/landing-page/slider/2.png	E:/Templates/multicart/themes.pixelstrap.com/multikart/assets/images/landing-page/slider/2.png	(from https://themes.pixelstrap.com/multikart/)
19:20:55	9255/9255	---M--	200	added ('OK')	image/png	etag:%221cc5162-2427-5a1cfdb5a8c80%22	https://themes.pixelstrap.com/multikart/assets/images/landing-page/slider/4.png	E:/Templates/multicart/themes.pixelstrap.com/multikart/assets/images/landing-page/slider/4.png	(from https://themes.pixelstrap.com/multikart/)
19:20:55	30425/30425	---M--	200	added ('OK')	image/png	etag:%221cc5161-76d9-5a1cfdb5a8c80%22	https://themes.pixelstrap.com/multikart/assets/images/landing-page/slider/3.png	E:/Templates/multicart/themes.pixelstrap.com/multikart/assets/images/landing-page/slider/3.png	(from https://themes.pixelstrap.com/multikart/)
19:20:55	7614/7614	---M--	200	added ('OK')	image/png	etag:%221cc5165-1dbe-5a1cfdb5a8c80%22	https://themes.pixelstrap.com/multikart/assets/images/landing-page/slider/6.png	E:/Templates/multicart/themes.pixelstrap.com/multikart/assets/images/landing-page/slider/6.png	(from https://themes.pixelstrap.com/multikart/)
19:20:55	28828/28828	---M--	200	added ('OK')	image/png	etag:%221cc515f-709c-5a1cfdb5a8c80%22	https://themes.pixelstrap.com/multikart/assets/images/landing-page/slider/11.png	E:/Templates/multicart/themes.pixelstrap.com/multikart/assets/images/landing-page/slider/11.png	(from https://themes.pixelstrap.com/multikart/)
19:20:55	13604/13604	---M--	200	added ('OK')	image/png	etag:%221cc5166-3524-5a1cfdb5a8c80%22	https://themes.pixelstrap.com/multikart/assets/images/landing-page/slider/7.png	E:/Templates/multicart/themes.pixelstrap.com/multikart/assets/images/landing-page/slider/7.png	(from https://themes.pixelstrap.com/multikart/)
19:20:56	13789/13789	---M--	200	added ('OK')	image/png	etag:%221cc5167-35dd-5a1cfdb5a8c80%22	https://themes.pixelstrap.com/multikart/assets/images/landing-page/slider/8.png	E:/Templates/multicart/themes.pixelstrap.com/multikart/assets/images/landing-page/slider/8.png	(from https://themes.pixelstrap.com/multikart/)
19:20:56	24480/24480	---M--	200	added ('OK')	image/png	etag:%221cc515e-5fa0-5a1cfdb5a8c80%22	https://themes.pixelstrap.com/multikart/assets/images/landing-page/slider/10.png	E:/Templates/multicart/themes.pixelstrap.com/multikart/assets/images/landing-page/slider/10.png	(from https://themes.pixelstrap.com/multikart/)
19:20:56	8673/8673	---M--	200	added ('OK')	image/png	etag:%221cc5168-21e1-5a1cfdb5a8c80%22	https://themes.pixelstrap.com/multikart/assets/images/landing-page/slider/9.png	E:/Templates/multicart/themes.pixelstrap.com/multikart/assets/images/landing-page/slider/9.png	(from https://themes.pixelstrap.com/multikart/)
19:20:56	34380/34380	---M--	200	added ('OK')	image/png	etag:%221cc514f-864c-5a1cfdb5a8c80%22	https://themes.pixelstrap.com/multikart/assets/images/landing-page/main-features/demo.png	E:/Templates/multicart/themes.pixelstrap.com/multikart/assets/images/landing-page/main-features/demo.png	(from https://themes.pixelstrap.com/multikart/)
19:20:56	18402/18402	---M--	200	added ('OK')	image/png	etag:%221cc514d-47e2-5a1cfdb5a8c80%22	https://themes.pixelstrap.com/multikart/assets/images/landing-page/main-features/dashboard.png	E:/Templates/multicart/themes.pixelstrap.com/multikart/assets/images/landing-page/main-features/dashboard.png	(from https://themes.pixelstrap.com/multikart/)
19:20:57	31079/31079	---M--	200	added ('OK')	image/png	etag:%221cc5151-7967-5a1cfdb5a8c80%22	https://themes.pixelstrap.com/multikart/assets/images/landing-page/main-features/email.png	E:/Templates/multicart/themes.pixelstrap.com/multikart/assets/images/landing-page/main-features/email.png	(from https://themes.pixelstrap.com/multikart/)
19:20:57	13698/13698	---M--	200	added ('OK')	image/jpeg	etag:%221cc515a-3582-5a1cfdb5a8c80%22	https://themes.pixelstrap.com/multikart/assets/images/landing-page/main-features/vendor.jpg	E:/Templates/multicart/themes.pixelstrap.com/multikart/assets/images/landing-page/main-features/vendor.jpg	(from https://themes.pixelstrap.com/multikart/)
19:20:57	25146/25146	---M--	200	added ('OK')	image/png	etag:%221cc5158-623a-5a1cfdb5a8c80%22	https://themes.pixelstrap.com/multikart/assets/images/landing-page/main-features/Unlimited-product-size.png	E:/Templates/multicart/themes.pixelstrap.com/multikart/assets/images/landing-page/main-features/Unlimited-product-size.png	(from https://themes.pixelstrap.com/multikart/)
19:20:57	3555/3555	---M--	200	added ('OK')	image/jpeg	etag:%221cc5157-de3-5a1cfdb5a8c80%22	https://themes.pixelstrap.com/multikart/assets/images/landing-page/main-features/skeleton.jpg	E:/Templates/multicart/themes.pixelstrap.com/multikart/assets/images/landing-page/main-features/skeleton.jpg	(from https://themes.pixelstrap.com/multikart/)
19:20:58	13513/13513	---M--	200	added ('OK')	image/jpeg	etag:%221cc514b-34c9-5a1cfdb5a8c80%22	https://themes.pixelstrap.com/multikart/assets/images/landing-page/main-features/color-picker.jpg	E:/Templates/multicart/themes.pixelstrap.com/multikart/assets/images/landing-page/main-features/color-picker.jpg	(from https://themes.pixelstrap.com/multikart/)
